,city,temperature,humidity,clouds,wind_speed,lat,lon
292,bozoum,85.87,24,12,3.66,6.303985450363697,16.141449331353073
293,amderma,-0.49,78,80,6.26,69.75278617961061,60.66656992059231
294,morondava,83.57,100,24,5.36,-17.97372658390215,42.51263459677418
295,suntar,-3.73,74,36,1.16,59.7902940082688,119.32708668026902
296,aktau,42.8,87,90,3.0,44.012179346844164,51.11783805250141
297,oreanda,43.79,100,8,1.86,43.86790183085296,34.39235604379661
298,gidole,83.03,39,0,0.21,5.932475414612497,37.514105609846496
299,bima,79.7,100,88,7.46,-7.859755981279719,119.34526040621597
300,mahebourg,59.67,86,92,11.81,-43.39725786054021,76.68650018891839
301,mitu,74.8,96,24,0.96,2.832851086571509,-70.42938827508185
302,ituni,67.42,94,76,2.11,4.647328390406571,-59.1933701536167
303,santa maria,72.63,68,75,3.6,16.687688309592446,-22.96392621791577
304,bengkulu,72.82,100,92,7.96,-22.722001385652987,88.74467606283338
305,seinajoki,-2.2,84,75,2.6,62.47388222357111,22.891813698563254
306,luderitz,69.85,100,12,7.06,-29.467400782836776,10.000895605127852
307,gazojak,56.35,72,44,4.91,39.695511839614,60.84835366711769
308,kedrovyy,1.49,61,44,2.96,57.27963077647098,80.44160183000702
309,kawalu,79.21,96,92,10.46,-17.407949204362225,106.56201856529071
310,presidencia roque saenz pena,79.57,91,68,2.81,-27.695200433407393,-61.67878598808804
311,samdrup jongkhar,61.3,43,0,0.96,26.777634738212157,91.51491959394258
312,nouadhibou,64.67,100,8,9.31,23.84987529743246,-17.26058037711718
313,geraldton,65.53,100,12,7.46,-31.78601553183936,95.04945633008526
314,fortuna,53.83,100,92,3.01,40.07886361071698,-132.91003982029395
315,vao,73.62,100,80,6.51,-29.79721425817636,166.39362845479047
316,herstal,35.11,97,75,8.2,50.68285603870709,5.603469407830346
317,lorengau,79.12,100,76,7.36,8.234497132859488,149.01383389086692
318,beloha,65.71,100,8,4.26,-33.4026799228757,41.04810293111109
319,banda aceh,79.88,100,64,4.66,4.587868026825589,91.30745240356492
320,dingle,51.85,100,92,7.46,47.40460327368598,-15.763824789266124
321,tromso,30.92,100,44,15.26,74.11865873778652,18.22178917597205
322,hamilton,74.75,100,24,7.46,25.787589160702836,-63.669914766879685
323,marystown,61.12,93,92,6.81,41.282867587679675,-53.09559329917498
324,panguna,80.69,99,56,1.61,-5.903558925691556,155.1243769170781
325,vrangel,32.45,100,24,13.91,41.523629903525915,133.17487860365964
326,los llanos de aridane,68.41,100,48,9.86,28.28427416916334,-24.8890158802879
327,nizhneyansk,-13.63,86,36,2.51,82.32748414782154,140.82669969318084
328,sibolga,82.04,100,8,3.26,1.83422909047556,98.57668936208427
329,caravelas,80.47,100,88,6.01,-22.890639220217594,-28.436724855394345
330,lahaina,73.13,100,0,10.51,20.033090210619065,-157.53019736703638
331,bantogon,82.81,95,36,6.11,6.537434456061959,123.77425676841358
